name_1,name_2,one_city,us_state,user_trns_count,user_amount_mean,user_amount_median,user_amount_std,user_amount_min,user_amount_max,user_first_time,user_last_time,user_active_days,user_trns_per_day
Aaron,Murray,Meadville,MO,1260,4.651186135208913,76.795,106.77083142958831,9.9,900.06,2019-01-01 01:02:00,2020-03-10 06:28:00,434,2.903225806451613
Aaron,Pena,Burke,VA,913,4.141810287059978,49.16,89.9586239029911,1.01,1677.92,2019-01-01 02:43:00,2020-03-10 14:09:00,434,2.1036866359447006
Aaron,Rogers,Valentine,NE,322,4.3690220207962085,49.795,136.61816203668803,1.07,1114.22,2019-01-01 00:22:00,2020-03-09 09:18:00,433,0.74364896073903
Aaron,Stewart,Winthrop,ME,328,4.0612747713499235,34.045,102.88918160558092,1.02,895.02,2019-01-03 16:39:00,2020-03-10 00:04:00,431,0.7610208816705336
Adam,Keller,Sardis,AL,312,4.187603299707441,27.15,125.05079895348575,1.07,1071.78,2019-01-01 21:13:00,2020-03-10 07:40:00,433,0.7205542725173211
Adam,Kirk,Big Indian,NY,937,4.107800931932925,37.29,96.4939193062764,1.01,1481.77,2019-01-02 21:45:00,2020-03-09 15:56:00,431,2.1740139211136893
Adam,Mcdonald,South Hero,VT,606,4.624329851176412,77.145,97.98982801113407,24.78,623.36,2019-01-01 22:21:00,2020-03-09 05:20:00,432,1.4027777777777777
Adam,Riddle,Mount Saint Joseph,OH,1243,4.587030628764888,76.46,96.73756807392057,9.01,1032.55,2019-01-01 17:30:00,2020-03-10 08:47:00,433,2.8706697459584296
Adam,Santos,Glendale,CA,1573,4.147692382683739,38.39,162.05465902361522,1.01,3242.76,2019-01-01 04:56:00,2020-03-10 14:30:00,434,3.6244239631336406
Adam,Stark,Mc Veytown,PA,1252,4.079027101129916,22.490000000000002,180.96091414604848,1.01,3754.68,2019-01-01 15:12:00,2020-03-10 03:35:00,433,2.8914549653579678
Adriana,Harvey,Unionville,MO,632,4.495871193337474,50.57,314.74369238542994,1.02,6585.99,2019-01-03 00:57:00,2020-03-10 14:47:00,432,1.462962962962963
Alan,Colon,Riverton,WY,1219,4.060582742233522,33.87,179.9822641082517,1.0,4652.27,2019-01-01 11:17:00,2020-03-10 13:33:00,434,2.8087557603686637
Alan,Howard,Detroit,MI,625,4.235263631968536,48.63,94.41239180377346,1.02,1077.45,2019-01-01 20:32:00,2020-03-09 11:56:00,432,1.4467592592592593
Alan,Parsons,Kirk,CO,603,4.124480408973651,35.48,98.25387186543753,1.04,1112.56,2019-01-02 23:12:00,2020-03-10 06:50:00,432,1.3958333333333333
Alan,Taylor,Oakdale,NY,312,4.229838304353984,47.285,118.85543942560071,1.02,1083.3,2019-01-05 04:43:00,2020-03-10 07:50:00,430,0.7255813953488373
Alex,White,Orient,NY,314,4.183155186544782,45.260000000000005,94.36185486830436,1.02,1124.38,2019-01-01 19:36:00,2020-03-10 06:59:00,433,0.7251732101616628
Alice,Kemp,Texarkana,AR,648,4.4531356811201865,51.945,109.12143474608874,1.01,1059.12,2019-01-01 03:47:00,2020-03-10 08:14:00,434,1.4930875576036866
Alicia,Bishop,Whigham,GA,936,4.2602102355472296,50.51,162.81935508322155,1.01,3616.47,2019-01-01 09:16:00,2020-03-10 14:10:00,434,2.1566820276497696
Alicia,Hawkins,Harwood,MD,615,4.352089041187796,52.77,266.6016653428956,1.02,5356.03,2019-01-01 04:02:00,2020-03-10 07:28:00,434,1.4170506912442395
Alicia,Miller,Randolph,MN,316,4.110046067815833,24.955,133.053017925709,1.07,1121.62,2019-01-01 19:32:00,2020-03-10 06:42:00,433,0.7297921478060047
Alicia,Mitchell,Grand Ridge,FL,606,4.127455849392462,42.80500000000001,96.41534593224931,1.0,1036.15,2019-01-02 08:27:00,2020-03-10 08:12:00,432,1.4027777777777777
Alicia,Morales,Meredith,CO,1231,4.163582624335161,37.72,114.0305852535165,1.02,2304.46,2019-01-01 18:57:00,2020-03-10 14:03:00,433,2.8429561200923787
Allen,Bell,Saint Bonaventure,NY,1264,4.585444631671081,76.975,90.91504774566033,23.69,617.87,2019-01-01 03:09:00,2020-03-10 09:44:00,434,2.912442396313364
Allison,Allen,De Witt,AR,1842,4.539306313561902,56.129999999999995,134.60503823235416,1.0,1954.55,2019-01-01 04:24:00,2020-03-10 15:51:00,434,4.244239631336406
Allison,Ayala,Fort Myers,FL,1548,4.481745466500527,54.115,109.35252445941732,1.01,1088.85,2019-01-01 08:27:00,2020-03-10 13:22:00,434,3.5668202764976957
Alyssa,Morgan,Gadsden,AL,933,4.196780064646756,51.83,126.3305183219614,1.01,2859.99,2019-01-01 04:03:00,2020-03-10 02:10:00,433,2.1547344110854505
Amanda,Adams,Bay City,OR,303,3.8829258721786286,29.07,88.19683953514897,1.02,1273.17,2019-01-01 22:21:00,2020-03-10 03:29:00,433,0.6997690531177829
Amanda,Alexander,Camden,TX,308,4.173670229666942,46.36,80.32863710099353,1.0,654.18,2019-01-06 09:17:00,2020-03-10 07:56:00,428,0.719626168224299
Amanda,Fitzgerald,Bristol,PA,918,4.425240407134389,49.730000000000004,120.24195676140953,1.08,1830.12,2019-01-01 10:18:00,2020-03-09 17:21:00,433,2.120092378752887
Amanda,Gomez,Dallas,TX,951,4.449835507228138,55.2,110.66626229115698,1.01,1378.96,2019-01-01 11:06:00,2020-03-10 03:02:00,433,2.1963048498845263
Amanda,Jones,Queenstown,MD,660,4.186455645060454,47.84,103.17999253683071,1.05,1015.74,2019-01-04 08:52:00,2020-03-10 15:35:00,431,1.531322505800464
Amanda,Molina,Philadelphia,PA,298,4.540591574561457,60.495000000000005,105.87000334395566,1.08,882.11,2019-01-01 03:10:00,2020-03-06 21:13:00,430,0.6930232558139535
Amanda,Smith,Scotia,SC,1261,4.187730535934208,35.09,234.79516165259406,1.01,7508.46,2019-01-01 14:08:00,2020-03-10 14:11:00,434,2.9055299539170507
Amanda,Spencer,Ogdensburg,NJ,1262,4.000905570431158,36.870000000000005,84.16521397839622,1.01,1217.09,2019-01-01 08:12:00,2020-03-10 14:00:00,434,2.9078341013824884
Amanda,Vance,Sterling City,TX,594,4.368408656081175,41.585,223.27747836911496,1.05,4618.34,2019-01-02 22:15:00,2020-03-10 12:23:00,432,1.375
Amanda,Wheeler,Cape Coral,FL,620,4.217710788081852,46.519999999999996,108.00960429992982,1.03,1209.91,2019-01-01 05:59:00,2020-03-10 01:11:00,433,1.4318706697459584
Amanda,Williams,Independence,MO,957,4.502457386925642,54.33,117.35070885904041,1.03,1171.19,2019-01-01 07:47:00,2020-03-09 21:49:00,433,2.2101616628175518
Amber,Lewis,Pembroke Township,IL,1741,4.295950854548797,55.31,77.93533360363423,1.0,1224.1,2019-01-01 03:04:00,2020-03-09 22:49:00,433,4.020785219399538
Amber,Perez,Fulton,SD,1194,4.084267295618906,40.129999999999995,72.05535926887629,1.0,1035.02,2019-01-01 13:51:00,2020-03-10 13:17:00,433,2.7575057736720554
Amber,Thornton,Campbell,NE,897,4.304837490601179,41.72,147.6881554469921,1.0,2080.81,2019-01-01 08:33:00,2020-03-10 15:41:00,434,2.0668202764976957
Amy,Abbott,Dayton,OH,318,4.419820653272199,50.05,132.10238817719133,1.02,1289.89,2019-01-01 16:10:00,2020-03-09 23:39:00,433,0.7344110854503464
Amy,Daugherty,Owensville,MO,307,3.954635604328147,19.55,124.4450749676191,1.04,1710.78,2019-01-01 13:47:00,2020-03-08 10:18:00,431,0.7122969837587007
Amy,Flynn,Jaffrey,NH,318,4.020121279437135,41.665,63.662102240336296,1.05,550.78,2019-01-01 23:26:00,2020-03-09 05:54:00,432,0.7361111111111112
Amy,Garrett,Trenton,TX,300,4.074128816270826,35.745000000000005,146.83024444584177,1.27,2214.83,2019-01-02 22:50:00,2020-03-10 11:06:00,432,0.6944444444444444
Ana,Howell,Bradley,SC,1914,4.107153847293388,35.879999999999995,187.5669408290653,1.0,5473.1,2019-01-01 01:08:00,2020-03-10 13:53:00,434,4.410138248847926
Ana,Mccormick,Meridian,ID,1544,4.491173681884824,50.59,144.76454132605892,1.0,3370.53,2019-01-01 04:55:00,2020-03-10 14:01:00,434,3.557603686635945
Andrea,Cruz,Mifflin,PA,1256,4.202197947396519,40.30500000000001,108.19850807750606,1.03,1366.31,2019-01-01 03:35:00,2020-03-10 14:20:00,434,2.8940092165898617
Andrea,Lewis,Ashford,WA,629,4.084317243773773,41.18,77.48620122302286,1.02,1063.18,2019-01-02 10:49:00,2020-03-10 11:05:00,433,1.4526558891454966
Andrea,Perkins,Irvine,PA,619,3.9910643917653257,37.2,71.96751910365197,1.04,856.26,2019-01-02 11:00:00,2020-03-10 10:22:00,432,1.4328703703703705
Andrew,Mcgee,San Antonio,TX,1588,4.158773367800838,37.565,122.86071724968599,1.02,1418.47,2019-01-01 04:34:00,2020-03-10 13:22:00,434,3.6589861751152073
Andrew,Patterson,Thida,AR,1731,4.3163709867977404,55.38,89.72405346592743,1.01,1234.22,2019-01-01 14:03:00,2020-03-10 14:46:00,434,3.988479262672811
Andrew,Tucker,Oak Hill,NY,902,4.6198735334321315,76.625,109.84158728828464,7.42,976.64,2019-01-02 03:09:00,2020-03-10 10:27:00,433,2.0831408775981526
Angela,Edwards,Lithopolis,OH,269,4.485807092288274,60.57,111.96715222829452,1.17,868.0,2019-01-01 22:31:00,2020-03-09 23:26:00,433,0.6212471131639723
Angela,Hodges,Indianapolis,IN,1867,4.4847188708207,53.29,115.20017656717224,1.0,1155.38,2019-01-01 19:59:00,2020-03-10 15:23:00,433,4.311778290993072
Angela,Ross,American Fork,UT,644,4.474178776939861,51.11,122.78476449030605,1.01,1598.58,2019-01-02 15:46:00,2020-03-10 14:52:00,432,1.4907407407407407
Angela,Taylor,Lakeport,CA,1217,4.429827147818067,50.97,113.27248414317789,1.01,1637.44,2019-01-01 03:12:00,2020-03-10 03:25:00,434,2.804147465437788
Angela,West,Mansfield,OH,913,4.279933866478444,53.6,109.50511202631058,1.01,1222.04,2019-01-02 19:01:00,2020-03-10 11:52:00,432,2.113425925925926
Angela,White,Lebanon,VA,602,4.5060459979061855,50.195,158.95114362720224,1.01,2680.47,2019-01-01 01:37:00,2020-03-10 06:58:00,434,1.3870967741935485
Angelica,Lopez,New York City,NY,7,6.283267581007905,332.48,404.64633013934287,7.42,1031.8,2019-07-13 01:26:00,2019-07-14 22:59:00,1,7.0
Angie,Jones,Clearwater,FL,330,4.509128405295755,53.370000000000005,142.3131867148812,1.03,1448.46,2019-01-01 19:35:00,2020-03-09 16:59:00,432,0.7638888888888888
Ann,Lawson,Burbank,WA,1578,4.50229208159695,55.71,112.42198641851974,1.04,1155.69,2019-01-01 15:28:00,2020-03-10 15:02:00,433,3.644341801385681
Anna,Logan,Cleveland,TX,1562,3.9135572951530224,23.87,125.35079391145891,1.01,2198.82,2019-01-01 15:18:00,2020-03-10 15:39:00,434,3.5990783410138247
Anthony,Allen,Jordan Valley,OR,312,4.471731096795784,75.85,68.4381241050379,23.75,550.48,2019-01-01 15:35:00,2020-03-07 06:23:00,430,0.7255813953488373
Anthony,Roberts,Maria Stein,OH,318,4.291697581891485,36.375,197.00656087762067,1.05,3014.28,2019-01-01 19:22:00,2020-03-10 15:06:00,433,0.7344110854503464
Anthony,Velasquez,Saint Francis,KY,326,4.3944408231979075,42.83,157.31816129547585,1.02,1211.84,2019-01-01 21:46:00,2020-03-10 02:26:00,433,0.7528868360277137
Antonio,Koch,Moab,UT,922,4.066481477981526,36.405,106.20266529473155,1.13,1330.45,2019-01-01 01:04:00,2020-03-09 19:13:00,433,2.1293302540415704
April,Johnson,Creedmoor,NC,1290,4.459154185058835,51.965,114.37516571156794,1.01,1769.52,2019-01-01 07:48:00,2020-03-10 15:52:00,434,2.9723502304147464
Ariana,Campbell,Daniels,WV,297,4.360212136437046,54.58,162.7530379584389,1.0,2042.69,2019-01-01 06:07:00,2020-03-09 20:30:00,433,0.6859122401847575
